201,"Food & wine"
211,"Education"
221,"History & culture"
231,"Architecture"
241,"For couples"
251,"Photography worthy"
261,"Livability research"
271,"Kids friendly"
281,"Outdoor & nature"
291,"Shopping"
301,"Sports & leisure"
311,"Host with car"
321,"Extreme fun"
331,"Events"
341,"Health & beauty"
351,"Private group"
